date,sex,ethnicity,abs,rate
2000-01-01,both,overall,537853.0,22.9
2001-01-01,both,overall,505479.0,21.0
2002-01-01,both,overall,494538.0,20.2
2003-01-01,both,overall,481399.0,19.2
2004-01-01,both,overall,481800.0,18.9
2005-01-01,both,overall,474473.0,18.2
2006-01-01,both,overall,472698.0,17.8
2007-01-01,both,overall,479647.0,17.7
2008-01-01,both,overall,493203.0,17.9
2009-01-01,both,overall,501644.0,17.9
2010-01-01,both,overall,491239.0,17.2
2011-01-01,both,overall,511594.0,17.6
2012-01-01,both,overall,526012.0,17.8
2013-01-01,both,overall,503914.0,16.7
2014-01-01,both,overall,528612.0,17.2
2015-01-01,both,overall,521136.0,16.7
2016-01-01,both,overall,508203.0,16.1
2017-01-01,both,overall,508685.0,15.9
2018-01-01,both,overall,501945.0,15.5
2019-01-01,both,overall,489863.0,15.1
2020-01-01,both,overall,471504.0,14.5
2021-01-01,both,overall,439744.0,13.5
2022-01-01,both,overall,423124.0,12.9
2023-01-01,both,overall,455761.0,13.6
2000-01-01,male,overall,277402.0,23.2
2001-01-01,male,overall,261051.0,21.3
2002-01-01,male,overall,255785.0,20.4
2003-01-01,male,overall,248962.0,19.4
2004-01-01,male,overall,248817.0,19.0
2005-01-01,male,overall,244875.0,18.3
2006-01-01,male,overall,244758.0,18.0
2007-01-01,male,overall,247425.0,17.8
2008-01-01,male,overall,255076.0,18.0
2009-01-01,male,overall,258783.0,17.9
2010-01-01,male,overall,253718.0,17.2
2011-01-01,male,overall,264427.0,17.7
2012-01-01,male,overall,272193.0,17.9
2013-01-01,male,overall,260725.0,16.7
2014-01-01,male,overall,273139.0,17.2
2015-01-01,male,overall,269255.0,16.7
2016-01-01,male,overall,262755.0,16.1
2017-01-01,male,overall,262575.0,15.9
2018-01-01,male,overall,259582.0,15.5
2019-01-01,male,overall,253438.0,15.1
2020-01-01,male,overall,244314.0,14.4
2021-01-01,male,overall,226896.0,13.3
2022-01-01,male,overall,218345.0,12.8
2000-01-01,female,overall,260451.0,22.6
2001-01-01,female,overall,244428.0,20.8
2002-01-01,female,overall,238753.0,19.9
2003-01-01,female,overall,232437.0,19.0
2004-01-01,female,overall,232983.0,18.7
2005-01-01,female,overall,229598.0,18.1
2006-01-01,female,overall,227940.0,17.6
2007-01-01,female,overall,232222.0,17.7
2008-01-01,female,overall,238127.0,17.8
2009-01-01,female,overall,242861.0,17.8
2010-01-01,female,overall,237521.0,17.1
2011-01-01,female,overall,247167.0,17.6
2012-01-01,female,overall,253819.0,17.8
2013-01-01,female,overall,243189.0,16.6
2014-01-01,female,overall,255473.0,17.2
2015-01-01,female,overall,251881.0,16.7
2016-01-01,female,overall,245448.0,16.1
2017-01-01,female,overall,246110.0,15.9
2018-01-01,female,overall,242363.0,15.5
2019-01-01,female,overall,236425.0,15.0
